SiO2,MgO,TiO2,Age_Ma,Latitude,Longitude,Setting,Rock_type,Sample,Source
52.44,15.15,0.4,30,11.36,37.11,HOTSPOT,,,
51.95,14.5,0.65,30,11.36,37.11,HOTSPOT,,,
52.13,15.3,0.52,30,11.36,37.11,HOTSPOT,,,
52.5,15.4,0.52,30,10.96,38.16,HOTSPOT,,,
51.51,15.57,0.62,30,9.03,36.17,HOTSPOT,,,
52.8,15.8,0.26,30,10.96,38.16,HOTSPOT,,,
52.0,14.1,0.57,30,10.96,38.16,HOTSPOT,,,
52.33,15.38,0.39,30,11.36,37.11,HOTSPOT,,,
52.41,15.25,0.55,30,11.36,37.11,HOTSPOT,,,
52.31,14.37,0.57,30,11.0,36.92,HOTSPOT,,,
52.65,14.0,0.69,30,11.36,37.11,HOTSPOT,,,
52.46,14.92,0.51,30,11.36,37.11,HOTSPOT,,,
52.13,15.06,0.84,30,11.36,37.11,HOTSPOT,,,
52.11,14.29,0.69,30,11.36,37.11,HOTSPOT,,,
52.0,14.48,0.59,30,11.36,37.11,HOTSPOT,,,
52.21,15.37,0.58,30,11.36,37.11,HOTSPOT,,,
53.5,15.03,0.5,30,11.36,37.11,HOTSPOT,,,
52.51,15.12,0.53,30,11.36,37.11,HOTSPOT,,,
52.52,15.36,0.56,30,11.36,37.11,HOTSPOT,,,
54.46,16.8,0.07,30,11.36,37.11,HOTSPOT,,,
52.4,15.2,0.36,30,10.95,38.16,HOTSPOT,,,
52.42,15.12,0.54,30,11.36,37.11,HOTSPOT,,,
55.69,19.17,0.17,30,9.03,36.17,HOTSPOT,,,
52.58,14.31,0.65,30,11.36,37.11,HOTSPOT,,,
52.2,14.8,0.59,30,10.95,38.16,HOTSPOT,,,
52.43,14.94,0.41,30,11.36,37.11,HOTSPOT,,,
54.04,19.7,0.22,180,-74.03,164.47,HOTSPOT,,,
52.61,16.55,0.45,180,-74.03,164.47,HOTSPOT,,,
52.2,16.16,0.58,180,-74.03,164.47,HOTSPOT,,,
52.15,16.1,0.63,180,-74.03,164.47,HOTSPOT,,,
54.49,17.1,0.11,180,-74.03,164.47,HOTSPOT,,,
52.46,16.25,0.55,180,-74.03,164.47,HOTSPOT,,,
53.35,16.97,0.17,180,-74.03,164.47,HOTSPOT,,,
52.18,16.03,0.59,180,-74.03,164.47,HOTSPOT,,,
48.02,14.25,1.43,180,-74.03,164.47,HOTSPOT,,,
53.82,17.11,0.33,180,-74.03,164.47,HOTSPOT,,,
54.58,19.39,0.12,180,-74.03,164.47,HOTSPOT,,,
52.38,16.08,0.39,180,-74.03,164.47,HOTSPOT,,,
52.24,16.2,0.89,180,-74.03,164.47,HOTSPOT,,,
51.86,16.42,0.12,180,-74.03,164.47,HOTSPOT,,,
53.98,18.68,0.34,180,-74.03,164.47,HOTSPOT,,,
52.43,16.55,0.55,180,-74.03,164.47,HOTSPOT,,,
54.58,18.36,0.35,180,-74.03,164.47,HOTSPOT,,,
52.24,15.82,0.3,180,-74.03,164.47,HOTSPOT,,,
51.61,16.45,0.17,180,-74.03,164.47,HOTSPOT,,,
53.51,16.78,0.14,180,-74.03,164.47,HOTSPOT,,,
52.39,16.21,0.41,180,-74.03,164.47,HOTSPOT,,,
53.77,18.53,0.33,180,-74.03,164.47,HOTSPOT,,,
51.99,15.91,0.72,180,-74.03,164.47,HOTSPOT,,,
52.23,16.13,0.59,180,-74.03,164.47,HOTSPOT,,,
52.19,16.11,0.45,180,-74.03,164.47,HOTSPOT,,,
51.22,16.19,0.52,180,-74.03,164.47,HOTSPOT,,,
